"yvar","variable","importance"
"OGMn","tmax_q99.t.minus.3",17407.1178934447
"OGMn","tmax_q99.t.minus.3",16610.8266067874
"OGMn","tmax_q99.t.minus.3",17072.3217021077
"OGMn","tmax_q99.t.minus.3",17855.8708656802
"OGMn","tmax_q99.t.minus.3",18338.2637105712
"OGMn","tmax_q99.t.minus.3",18797.9674744158
"OGMn","tmax_q99.t.minus.3",17651.1699797283
"OGMn","tmax_q99.t.minus.3",17454.8390612058
"OGMn","tmax_q99.t.minus.3",20471.1538635672
"GSL.50","tmax_q99.t.minus.3",7063.56373514835
"GSL.50","tmax_q99.t.minus.3",6707.67904723236
"GSL.50","tmax_q99.t.minus.3",7450.29399998716
"GSL.50","tmax_q99.t.minus.3",6555.40283510855
"GSL.50","tmax_q99.t.minus.3",7254.16067418926
"GSL.50","tmax_q99.t.minus.3",6764.20996788425
"GSL.50","tmax_q99.t.minus.3",7276.76406350253
"GSL.50","tmax_q99.t.minus.3",8089.6150540636
"GSL.50","tmax_q99.t.minus.3",6288.50721781213
"GSL.50","tmax_q99.t.minus.3",7149.66533776782
"EVImax","tmax_q99.t.minus.3",0.237813878998577
"EVImax","tmax_q99.t.minus.3",0.231385111191318
"EVImax","tmax_q99.t.minus.3",0.266995757442949
"EVImax","tmax_q99.t.minus.3",0.242890965156164
"EVImax","tmax_q99.t.minus.3",0.260073601091224
"EVImax","tmax_q99.t.minus.3",0.243362448726156
"EVImax","tmax_q99.t.minus.3",0.225295464070929
"EVImax","tmax_q99.t.minus.3",0.267097224387732
"EVImax","tmax_q99.t.minus.3",0.26127229094424
"EVImax","tmax_q99.t.minus.3",0.246598422190854
"OGI","tmax_q99.t.minus.2",5132.17946162924
"OGI","tmax_q99.t.minus.2",4870.36059563035
"OGI","tmax_q99.t.minus.2",4887.9549792211
"OGI","tmax_q99.t.minus.2",5093.10391197503
"OGI","tmax_q99.t.minus.2",4339.14569786952
"OGI","tmax_q99.t.minus.2",4458.0469509348
"OGI","tmax_q99.t.minus.2",4749.19572213803
"OGI","tmax_q99.t.minus.2",4861.3078862654
"OGI","tmax_q99.t.minus.2",4747.5357251479
"OGI","tmax_q99.t.minus.2",4881.16411795741
"OGMn","tmax_q99.t.minus.2",10011.4644162415
"OGMn","tmax_q99.t.minus.2",8869.31186115994
"OGMn","tmax_q99.t.minus.2",8605.51059472204
"OGMn","tmax_q99.t.minus.2",8940.50672216293
"OGMn","tmax_q99.t.minus.2",9492.16812184843
"OGMn","tmax_q99.t.minus.2",10789.553445548
"OGMn","tmax_q99.t.minus.2",9492.07039953736
"OGMn","tmax_q99.t.minus.2",9537.87699208078
"OGMn","tmax_q99.t.minus.2",8942.404374309
"OGMn","tmax_q99.t.minus.2",9796.04033329996
"GSL.50","tmax_q99.t.minus.2",9389.59079081329
"GSL.50","tmax_q99.t.minus.2",9667.41157611839
"GSL.50","tmax_q99.t.minus.2",10081.0115797813
"GSL.50","tmax_q99.t.minus.2",9177.94475360936
"GSL.50","tmax_q99.t.minus.2",9394.44421512997
"GSL.50","tmax_q99.t.minus.2",9394.12824917672
"GSL.50","tmax_q99.t.minus.2",8973.9143619242
"GSL.50","tmax_q99.t.minus.2",8533.15250489984
"GSL.50","tmax_q99.t.minus.2",9978.03159709877
"GSL.50","tmax_q99.t.minus.2",9248.4561441545
"EVImax","tmax_q99.t.minus.2",0.29607638887926
"EVImax","tmax_q99.t.minus.2",0.292469063752647
"EVImax","tmax_q99.t.minus.2",0.334882278103273
"EVImax","tmax_q99.t.minus.2",0.289458152528995
"EVImax","tmax_q99.t.minus.2",0.27558482968591
"EVImax","tmax_q99.t.minus.2",0.266977789706424
"EVImax","tmax_q99.t.minus.2",0.276073193739636
"EVImax","tmax_q99.t.minus.2",0.293223119477528
"EVImax","tmax_q99.t.minus.2",0.298595448000271
"EVImax","tmax_q99.t.minus.2",0.322032656894099
"OGI","tmax_q99.t.minus.1",9431.66889639251
"OGI","tmax_q99.t.minus.1",9558.97662110984
"OGI","tmax_q99.t.minus.1",8817.72565213453
"OGI","tmax_q99.t.minus.1",10019.6048411778
"OGI","tmax_q99.t.minus.1",9234.70655350037
"OGI","tmax_q99.t.minus.1",8250.89255083826
"OGI","tmax_q99.t.minus.1",9001.01513087215
"OGI","tmax_q99.t.minus.1",10634.8499541367
"OGI","tmax_q99.t.minus.1",10074.2327598053
"OGI","tmax_q99.t.minus.1",9714.11021806888
"OGMn","tmax_q99.t.minus.1",28121.0348835317
"OGMn","tmax_q99.t.minus.1",20186.3111459745
"OGMn","tmax_q99.t.minus.1",23210.3999625406
"OGMn","tmax_q99.t.minus.1",21930.2451599769
"OGMn","tmax_q99.t.minus.1",24728.3261129807
"OGMn","tmax_q99.t.minus.1",22350.7724904369
"OGMn","tmax_q99.t.minus.1",23166.9277418335
"OGMn","tmax_q99.t.minus.1",22316.3985406076
"OGMn","tmax_q99.t.minus.1",25638.5029241259
"OGMn","tmax_q99.t.minus.1",25627.5492518741
"GSL.50","tmax_q99.t.minus.1",6098.37151892924
"GSL.50","tmax_q99.t.minus.1",6329.27994188696
"GSL.50","tmax_q99.t.minus.1",6542.2452461903
"GSL.50","tmax_q99.t.minus.1",5371.21549602226
"GSL.50","tmax_q99.t.minus.1",5781.72716207404
"GSL.50","tmax_q99.t.minus.1",6140.80058857042
"GSL.50","tmax_q99.t.minus.1",6539.83271480134
"GSL.50","tmax_q99.t.minus.1",6314.03182562295
"GSL.50","tmax_q99.t.minus.1",5356.06260784978
