"x","year","yhat.q50","yhat.q05","yhat.q95","yvar","xvar"
365,2017,139.067184126745,138.959546340724,139.201819574697,"OGI","sm_runs_med_dur.t.minus.1"
0,2018,137.55552105573,137.474141915572,137.645891517388,"OGI","sm_runs_med_dur.t.minus.1"
40.5555555555556,2018,137.531425661981,137.473012717839,137.634722049446,"OGI","sm_runs_med_dur.t.minus.1"
81.1111111111111,2018,137.591552964147,137.546216960844,137.715650028921,"OGI","sm_runs_med_dur.t.minus.1"
121.666666666667,2018,137.623483362808,137.561014311092,137.729822630433,"OGI","sm_runs_med_dur.t.minus.1"
162.222222222222,2018,137.590019868389,137.518504258565,137.694614871186,"OGI","sm_runs_med_dur.t.minus.1"
202.777777777778,2018,137.626892409032,137.584334005197,137.803956320703,"OGI","sm_runs_med_dur.t.minus.1"
243.333333333333,2018,137.569246032328,137.535252723953,137.754814271084,"OGI","sm_runs_med_dur.t.minus.1"
283.888888888889,2018,137.56671842261,137.541636034383,137.759263806206,"OGI","sm_runs_med_dur.t.minus.1"
324.444444444444,2018,137.567629038097,137.541815247596,137.759306837844,"OGI","sm_runs_med_dur.t.minus.1"
365,2018,137.568433286847,137.541751845008,137.759269146652,"OGI","sm_runs_med_dur.t.minus.1"
0,2019,144.294032497383,143.915406348234,144.594413977934,"OGI","sm_runs_med_dur.t.minus.1"
40.5555555555556,2019,144.273165700775,143.890114957891,144.57230483404,"OGI","sm_runs_med_dur.t.minus.1"
81.1111111111111,2019,144.331836699203,143.948819821664,144.617198314764,"OGI","sm_runs_med_dur.t.minus.1"
121.666666666667,2019,144.331691942386,143.952744068012,144.608298401173,"OGI","sm_runs_med_dur.t.minus.1"
162.222222222222,2019,144.216671700539,143.840662190437,144.497175376462,"OGI","sm_runs_med_dur.t.minus.1"
202.777777777778,2019,144.221755275928,143.839622479989,144.507932462685,"OGI","sm_runs_med_dur.t.minus.1"
243.333333333333,2019,143.920719492787,143.540042090483,144.157121125269,"OGI","sm_runs_med_dur.t.minus.1"
283.888888888889,2019,143.899218029605,143.513298583349,144.148651651273,"OGI","sm_runs_med_dur.t.minus.1"
324.444444444444,2019,143.902420919671,143.515374769727,144.150210198188,"OGI","sm_runs_med_dur.t.minus.1"
365,2019,143.900635410038,143.514056068601,144.146763444345,"OGI","sm_runs_med_dur.t.minus.1"
0,2016,139.351862483803,139.239171438935,139.392796053368,"OGI","sm_runs_med_dur.t.minus.0"
40.5555555555556,2016,139.312767920958,139.222463484163,139.366881844555,"OGI","sm_runs_med_dur.t.minus.0"
81.1111111111111,2016,139.28601731997,139.189789189789,139.352145964643,"OGI","sm_runs_med_dur.t.minus.0"
121.666666666667,2016,139.227918866756,139.133154184361,139.323365239096,"OGI","sm_runs_med_dur.t.minus.0"
162.222222222222,2016,138.861239283156,138.806476143144,138.948594145007,"OGI","sm_runs_med_dur.t.minus.0"
202.777777777778,2016,138.665754440988,138.592976360304,138.766743258332,"OGI","sm_runs_med_dur.t.minus.0"
243.333333333333,2016,138.648877723182,138.573977156897,138.749397287036,"OGI","sm_runs_med_dur.t.minus.0"
283.888888888889,2016,138.651428863117,138.582428142129,138.75882289755,"OGI","sm_runs_med_dur.t.minus.0"
324.444444444444,2016,138.666802707517,138.594680713034,138.782038945512,"OGI","sm_runs_med_dur.t.minus.0"
365,2016,138.666928837588,138.599220151684,138.778483269945,"OGI","sm_runs_med_dur.t.minus.0"
0,2017,139.211841357182,139.096627398767,139.262601683314,"OGI","sm_runs_med_dur.t.minus.0"
40.5555555555556,2017,139.177865967686,139.076644678262,139.231720278478,"OGI","sm_runs_med_dur.t.minus.0"
81.1111111111111,2017,139.150912931574,139.052372638791,139.223195777516,"OGI","sm_runs_med_dur.t.minus.0"
121.666666666667,2017,139.103577987009,138.995336679992,139.204081795281,"OGI","sm_runs_med_dur.t.minus.0"
162.222222222222,2017,138.722317507631,138.643164667056,138.770069966822,"OGI","sm_runs_med_dur.t.minus.0"
202.777777777778,2017,138.521887218409,138.407863440527,138.573230398823,"OGI","sm_runs_med_dur.t.minus.0"
